match,pick,pnl
England - France,ah_home,-1
England - France,under,-1
Morocco - Portugal,1x2_2,-1
Morocco - Portugal,ah_away,-1
Morocco - Portugal,over,-1
Argentina - Croatia,1x2_X,-1
Argentina - Croatia,1x2_2,-1
Argentina - Croatia,ah_away,-1
Argentina - Croatia,under,-1
France - Morocco,ah_away,-1
Croatia - Morocco,1x2_1,1.2000000000000002
Croatia - Morocco,ah_home,0.99
Croatia - Morocco,over,0.8600000000000001
Argentina - France,1x2_1,-1
Argentina - France,1x2_X,2.1
Argentina - France,ah_home,0
Argentina - France,over,1.2000000000000002
